year,draft_date
2000,"June 28, 2000"
2001,"June 27, 2001"
2002,"June 26, 2002"
2003,"June 26, 2003"
2004,"June 24, 2004"
2005,"June 28, 2005"
2006,"June 28, 2006"
2007,"June 28, 2007"
2008,"June 26, 2008"
2009,"June 25, 2009"
2010,"June 24, 2010"
2011,"June 23, 2011"
2012,"June 28, 2012"
2013,"June 27, 2013"
2014,"June 26, 2014"
2015,"June 25, 2015"
2016,"June 23, 2016"
2017,"June 22, 2017"
2018,"June 21, 2018"
2019,"June 20, 2019"
2020,"November 18, 2020"
2021,"July 29, 2021"
